Age,Name,Value,Overall,Potential,Dribbling,Finishing,ShortPassing,LongPassing,Composure,Vision,Acceleration,SprintSpeed,International Reputation,BMI
31,H. Lloris,36000000,88,88,10.0,10.0,50.0,50.0,65.0,30.0,65.0,62.0,4.0,23.22883657763694
30,G. Higuaín,57000000,88,88,84.0,92.0,75.0,59.0,86.0,74.0,73.0,73.0,4.0,25.863202568515664
33,Thiago Silva,24000000,88,88,62.0,38.0,80.0,80.0,81.0,72.0,70.0,72.0,4.0,24.542327443672967
33,S. Handanovič,30000000,88,88,12.0,10.0,36.0,34.0,69.0,41.0,51.0,55.0,3.0,24.72549598646944
40,G. Buffon,4000000,88,88,26.0,15.0,37.0,35.0,70.0,50.0,49.0,43.0,4.0,24.72549598646944
24,S. Umtiti,57000000,87,92,69.0,51.0,81.0,73.0,82.0,58.0,71.0,73.0,3.0,22.36012293284699
25,M. Icardi,64500000,87,90,77.0,91.0,73.0,54.0,85.0,64.0,77.0,78.0,3.0,23.00965698077001
27,K. Koulibaly,51000000,87,90,66.0,19.0,66.0,56.0,78.0,43.0,68.0,75.0,3.0,25.15278406518787
25,P. Pogba,64000000,87,91,87.0,73.0,86.0,90.0,87.0,87.0,71.0,79.0,4.0,22.52409460656662
31,K. Navas,30500000,87,87,16.0,15.0,30.0,37.0,67.0,68.0,54.0,53.0,3.0,23.21578813236839
25,R. Lukaku,62500000,87,89,80.0,87.0,77.0,73.0,83.0,76.0,77.0,90.0,3.0,25.8747184161035
28,C. Immobile,52000000,87,87,83.0,90.0,74.0,49.0,81.0,65.0,78.0,85.0,3.0,24.670411448932825
29,Jordi Alba,38000000,87,87,80.0,73.0,84.0,74.0,79.0,70.0,93.0,93.0,3.0,23.474145989856407
31,D. Mertens,45000000,87,87,91.0,86.0,82.0,74.0,81.0,83.0,93.0,85.0,3.0,20.98864817916573
31,J. Vertonghen,34000000,87,87,71.0,56.0,79.0,74.0,83.0,68.0,61.0,65.0,3.0,24.38886373924853
30,M. Hamšík,46500000,87,87,86.0,79.0,88.0,83.0,84.0,86.0,69.0,68.0,3.0,23.58574464440679
30,I. Rakitić,46500000,87,87,84.0,83.0,87.0,90.0,81.0,86.0,66.0,59.0,4.0,23.31670573211317
31,Piqué,34000000,87,87,59.0,64.0,81.0,80.0,86.0,62.0,49.0,60.0,4.0,22.7657118311901
22,L. Sané,61000000,86,92,88.0,81.0,79.0,64.0,78.0,82.0,93.0,96.0,2.0,22.36012293284699
23,Bernardo Silva,59500000,86,91,92.0,75.0,85.0,79.0,85.0,86.0,84.0,74.0,2.0,21.45829931578201
24,Ederson,41500000,86,90,23.0,14.0,56.0,58.0,70.0,67.0,64.0,63.0,2.0,24.38886373924853
26,S. Mané,52000000,86,87,87.0,84.0,79.0,71.0,80.0,82.0,95.0,93.0,3.0,22.421021220569155
26,V. van Dijk,44500000,86,88,70.0,52.0,76.0,78.0,83.0,59.0,74.0,77.0,3.0,24.72549598646944
23,R. Sterling,56500000,86,89,88.0,77.0,84.0,69.0,77.0,77.0,95.0,92.0,3.0,23.784833216192744
26,Roberto Firmino,53000000,86,87,87.0,87.0,86.0,75.0,87.0,85.0,78.0,77.0,3.0,23.44031900982186
25,R. Varane,50000000,86,91,57.0,40.0,75.0,76.0,82.0,56.0,83.0,85.0,3.0,22.37515586142284
25,M. Verratti,55000000,86,89,90.0,60.0,90.0,89.0,93.0,87.0,69.0,62.0,3.0,21.97519187937784
27,Alex Sandro,36500000,86,86,80.0,55.0,81.0,71.0,82.0,70.0,83.0,86.0,3.0,24.54773565595517
27,Douglas Costa,46500000,86,86,92.0,67.0,84.0,68.0,84.0,84.0,97.0,93.0,3.0,23.43648628395567
28,T. Müller,45000000,86,86,75.0,87.0,83.0,72.0,83.0,85.0,73.0,75.0,4.0,21.761164815803955
27,Thiago,45500000,86,86,90.0,69.0,90.0,87.0,85.0,86.0,78.0,69.0,3.0,22.74643517152081
29,M. Reus,43500000,86,86,87.0,87.0,86.0,75.0,84.0,86.0,86.0,85.0,4.0,21.90224033463669
28,Azpilicueta,35000000,86,86,69.0,46.0,81.0,80.0,78.0,74.0,76.0,76.0,3.0,24.10412984091274
31,L. Bonucci,30000000,86,86,69.0,48.0,77.0,85.0,86.0,74.0,57.0,65.0,3.0,23.367157845426803
29,T. Alderweireld,39000000,86,87,62.0,45.0,79.0,85.0,81.0,67.0,61.0,66.0,3.0,23.62308266100644
28,M. Pjanić,44000000,86,86,86.0,60.0,89.0,85.0,86.0,88.0,66.0,66.0,3.0,22.8071884715198
31,M. Benatia,30000000,86,86,64.0,47.0,65.0,65.0,82.0,47.0,65.0,75.0,3.0,26.567451335445902
29,M. Özil,43500000,86,86,84.0,73.0,89.0,82.0,82.0,91.0,72.0,69.0,4.0,23.44031900982186
33,Fernandinho,18000000,86,86,77.0,69.0,85.0,81.0,79.0,75.0,68.0,67.0,3.0,21.22555265518694
34,Iniesta,21500000,86,86,90.0,70.0,90.0,85.0,89.0,93.0,70.0,67.0,4.0,23.474145989856407
23,M. Škriniar,46500000,85,92,59.0,42.0,70.0,68.0,80.0,57.0,70.0,73.0,1.0,22.578089633318243
23,S. Milinković-Savić,50500000,85,90,86.0,80.0,85.0,85.0,82.0,85.0,68.0,70.0,2.0,20.99737532808399
22,Marco Asensio,54000000,85,92,86.0,82.0,83.0,82.0,83.0,84.0,85.0,82.0,3.0,22.778627907525948
24,N. Fekir,50000000,85,89,90.0,82.0,83.0,75.0,89.0,81.0,79.0,79.0,3.0,25.079387325320223
25,Alisson,36500000,85,90,27.0,13.0,45.0,44.0,65.0,66.0,54.0,45.0,3.0,25.13071692810052
23,J. Kimmich,40500000,85,88,80.0,66.0,85.0,80.0,82.0,79.0,78.0,68.0,3.0,22.74643517152081
23,Saúl,50500000,85,90,83.0,78.0,85.0,83.0,83.0,82.0,74.0,73.0,3.0,23.04766681981956
27,R. Mahrez,40500000,85,85,91.0,80.0,82.0,76.0,86.0,81.0,88.0,83.0,3.0,21.22555265518694
26,D. Alaba,38000000,85,87,79.0,63.0,82.0,80.0,79.0,77.0,79.0,86.0,4.0,23.44031900982186
26,Koke,45000000,85,86,82.0,72.0,90.0,89.0,78.0,87.0,71.0,68.0,3.0,24.04809097532744
27,A. Lacazette,45000000,85,86,85.0,88.0,80.0,59.0,85.0,76.0,81.0,84.0,3.0,23.755218419470943
27,K. Manolas,37500000,85,87,54.0,10.0,60.0,61.0,79.0,22.0,80.0,85.0,3.0,23.48347668628339
30,N. Otamendi,28500000,85,85,51.0,54.0,75.0,72.0,80.0,53.0,57.0,61.0,3.0,24.27328853137936
29,Parejo,37000000,85,85,78.0,79.0,90.0,87.0,78.0,86.0,51.0,43.0,2.0,22.09108402055338
29,Paulinho,37000000,85,85,82.0,81.0,84.0,80.0,80.0,78.0,73.0,73.0,3.0,21.28396728367254
28,W. Szczęsny,32000000,85,87,11.0,12.0,32.0,36.0,65.0,48.0,51.0,47.0,3.0,23.471380598107235
29,A. Sánchez,37500000,85,85,87.0,80.0,77.0,75.0,84.0,82.0,86.0,79.0,4.0,25.51087336250572
28,Y. Brahimi,39000000,85,85,93.0,76.0,79.0,72.0,90.0,79.0,87.0,75.0,3.0,21.54240355299968
29,J. Boateng,30000000,85,85,64.0,34.0,75.0,83.0,84.0,75.0,67.0,72.0,4.0,24.108029745764988
31,A. Vidal,26000000,85,85,76.0,75.0,83.0,79.0,81.0,80.0,60.0,55.0,4.0,23.00965698077001
29,I. Perišić,37500000,85,85,84.0,79.0,81.0,77.0,80.0,79.0,84.0,88.0,3.0,23.21578813236839
32,E. Džeko,30500000,85,85,76.0,89.0,77.0,72.0,83.0,74.0,65.0,66.0,3.0,22.52409460656662
31,S. Khedira,33000000,85,85,81.0,72.0,85.0,82.0,84.0,82.0,54.0,60.0,3.0,25.407424173834315
29,Diego Costa,38500000,85,85,77.0,87.0,65.0,52.0,83.0,74.0,74.0,76.0,4.0,24.38886373924853
30,R. Nainggolan,35500000,85,85,80.0,75.0,84.0,81.0,84.0,76.0,78.0,73.0,3.0,25.089415618372737
35,Naldo,9000000,85,85,60.0,57.0,76.0,70.0,84.0,59.0,60.0,65.0,3.0,23.23945223184106
31,B. Matuidi,26000000,85,85,78.0,64.0,83.0,77.0,82.0,76.0,79.0,77.0,3.0,23.00965698077001
33,Miranda,15500000,85,85,67.0,43.0,70.0,69.0,81.0,58.0,66.0,69.0,3.0,22.6921237384052
30,K. Benzema,37000000,85,85,83.0,81.0,83.0,62.0,79.0,85.0,76.0,76.0,4.0,23.62308266100644
32,Filipe Luís,21500000,85,85,77.0,59.0,80.0,77.0,88.0,70.0,76.0,75.0,3.0,22.09108402055338
32,V. Kompany,22000000,85,85,63.0,45.0,73.0,66.0,81.0,59.0,52.0,59.0,4.0,23.367157845426803
35,Pepe,9000000,85,85,58.0,46.0,70.0,61.0,79.0,48.0,65.0,70.0,4.0,22.97419646899049
36,Z. Ibrahimović,14000000,85,85,79.0,86.0,79.0,73.0,90.0,79.0,58.0,59.0,5.0,24.77825034187713
22,D. Sánchez,34000000,84,88,63.0,40.0,77.0,67.0,75.0,49.0,72.0,79.0,2.0,22.3234495246718
23,J. Giménez,34000000,84,88,47.0,37.0,68.0,58.0,73.0,27.0,69.0,70.0,2.0,23.21578813236839
25,Alex Telles,32000000,84,87,82.0,65.0,83.0,86.0,80.0,74.0,84.0,85.0,3.0,21.90224033463669
24,A. Laporte,34000000,84,88,59.0,45.0,76.0,78.0,77.0,57.0,62.0,66.0,2.0,23.99275690357628
23,Bruno Fernandes,40500000,84,88,83.0,73.0,85.0,82.0,83.0,86.0,79.0,76.0,2.0,21.79494154906677
22,N. Süle,36500000,84,90,42.0,20.0,78.0,63.0,72.0,30.0,52.0,84.0,2.0,25.379410424011272
22,A. Martial,42500000,84,90,87.0,84.0,77.0,60.0,79.0,73.0,88.0,89.0,3.0,22.778627907525948
22,D. Alli,42500000,84,90,83.0,83.0,85.0,80.0,86.0,85.0,73.0,76.0,3.0,22.578089633318243
24,Fabinho,34000000,84,88,76.0,66.0,83.0,78.0,84.0,75.0,69.0,72.0,3.0,22.06880941602536
24,Marquinhos,35500000,84,89,59.0,33.0,81.0,78.0,79.0,51.0,73.0,76.0,3.0,22.36012293284699
26,William Carvalho,31500000,84,86,80.0,52.0,84.0,86.0,89.0,83.0,49.0,53.0,3.0,23.48347668628339
26,Jorginho,38000000,84,87,82.0,57.0,89.0,87.0,79.0,87.0,75.0,69.0,2.0,20.64101582098486
25,F. Thauvin,39000000,84,87,85.0,81.0,83.0,76.0,82.0,80.0,87.0,80.0,2.0,22.111268712333345
26,Carvajal,31500000,84,87,76.0,41.0,81.0,71.0,77.0,57.0,79.0,84.0,3.0,24.475872657063857
24,M. Depay,42000000,84,89,85.0,79.0,80.0,74.0,79.0,82.0,87.0,87.0,3.0,25.38228817422923
25,H. Son,37000000,84,85,88.0,85.0,79.0,64.0,82.0,80.0,88.0,87.0,3.0,19.40069489761725
27,A. Lopes,25000000,84,86,15.0,18.0,32.0,31.0,65.0,48.0,63.0,64.0,2.0,24.27328853137936
26,S. de Vrij,31500000,84,86,63.0,25.0,71.0,71.0,82.0,59.0,67.0,69.0,3.0,22.06880941602536
25,M. Perin,29500000,84,89,19.0,11.0,33.0,31.0,65.0,44.0,57.0,56.0,2.0,21.814169307378904
30,J. Cuadrado,29500000,84,84,90.0,67.0,80.0,69.0,80.0,76.0,89.0,93.0,3.0,22.8071884715198
30,Iago Aspas,30000000,84,84,86.0,88.0,79.0,64.0,85.0,75.0,85.0,78.0,2.0,21.83527610885617
26,B. Leno,27000000,84,87,16.0,9.0,45.0,40.0,66.0,54.0,46.0,52.0,3.0,22.87115685342481
29,N. Matić,24000000,84,84,80.0,64.0,84.0,83.0,84.0,73.0,52.0,59.0,3.0,22.7657118311901
28,L. Hrádecký,22000000,84,84,10.0,11.0,15.0,20.0,48.0,53.0,38.0,44.0,2.0,22.7657118311901
28,Illarramendi,31000000,84,84,78.0,72.0,86.0,82.0,79.0,86.0,66.0,57.0,2.0,23.66127181233954
28,K. Walker,24500000,84,84,79.0,51.0,78.0,67.0,75.0,69.0,86.0,93.0,3.0,20.89535552147065
27,I. Gündoğan,32000000,84,84,85.0,73.0,88.0,83.0,87.0,86.0,67.0,68.0,3.0,24.54773565595517
31,José Callejón,27500000,84,84,82.0,78.0,80.0,51.0,79.0,78.0,88.0,89.0,3.0,23.09188291845972
30,A. Di María,29500000,84,84,86.0,72.0,82.0,79.0,82.0,82.0,85.0,84.0,4.0,21.194724144051523
32,M. Mandžukić,25000000,84,84,76.0,84.0,75.0,67.0,80.0,74.0,67.0,73.0,3.0,23.367157845426803
29,Willian,30500000,84,84,88.0,77.0,80.0,77.0,79.0,83.0,91.0,86.0,3.0,25.38228817422923
29,Sergio Asenjo,24000000,84,85,15.0,14.0,39.0,39.0,64.0,46.0,59.0,54.0,2.0,24.643503847894976
30,E. Banega,29000000,84,84,84.0,66.0,88.0,87.0,80.0,88.0,68.0,64.0,3.0,23.169473307757965
29,A. Witsel,24000000,84,84,78.0,71.0,89.0,79.0,89.0,79.0,67.0,74.0,3.0,22.97419646899049
31,D. Payet,27500000,84,84,86.0,78.0,84.0,80.0,82.0,87.0,75.0,72.0,3.0,25.089415618372737
34,Jonas,16500000,84,84,84.0,88.0,76.0,75.0,87.0,83.0,65.0,64.0,3.0,22.732802819236685
30,Sokratis,23000000,84,84,58.0,44.0,60.0,51.0,82.0,45.0,64.0,73.0,3.0,24.670411448932825
31,S. Ruffier,19000000,84,84,12.0,11.0,33.0,34.0,66.0,49.0,45.0,50.0,3.0,26.312811226799457
32,Falcao,25000000,84,84,75.0,86.0,79.0,58.0,87.0,70.0,69.0,66.0,3.0,22.8071884715198
31,K. Schmeichel,19000000,84,84,12.0,12.0,44.0,46.0,67.0,59.0,59.0,60.0,2.0,25.15278406518787
32,Raúl Albiol,18000000,84,84,59.0,27.0,74.0,72.0,75.0,57.0,54.0,53.0,3.0,22.623156357423824
30,A. Gómez,30000000,84,84,89.0,76.0,82.0,74.0,84.0,85.0,94.0,86.0,3.0,24.946795455721087
37,A. Barzagli,4200000,84,84,64.0,21.0,65.0,65.0,88.0,62.0,61.0,77.0,3.0,24.643503847894976
34,Quaresma,15500000,84,84,89.0,67.0,79.0,75.0,80.0,84.0,84.0,82.0,3.0,21.83527610885617
34,A. Robben,15500000,84,84,89.0,85.0,82.0,71.0,85.0,80.0,83.0,76.0,4.0,24.54773565595517
21,O. Dembélé,40000000,83,92,90.0,78.0,78.0,70.0,75.0,84.0,93.0,92.0,3.0,21.22555265518694
21,Gabriel Jesus,41000000,83,92,86.0,84.0,76.0,66.0,82.0,77.0,87.0,85.0,2.0,23.755218419470943
26,Ronaldo Cabrais,28000000,83,83,85.0,74.0,83.0,82.0,81.0,83.0,88.0,87.0,1.0,23.66127181233954
26,Josué Chiamulera,22500000,83,83,56.0,38.0,74.0,61.0,71.0,42.0,83.0,78.0,1.0,23.21578813236839
26,Louri Beretta,28500000,83,83,75.0,85.0,73.0,47.0,79.0,58.0,79.0,83.0,1.0,23.48347668628339
22,P. Kimpembe,30500000,83,89,58.0,31.0,79.0,75.0,80.0,60.0,75.0,78.0,2.0,22.578089633318243
23,N. Keïta,34000000,83,88,88.0,74.0,88.0,78.0,79.0,81.0,78.0,60.0,2.0,21.45829931578201
23,C. Tolisso,34000000,83,88,77.0,75.0,84.0,86.0,74.0,80.0,75.0,66.0,2.0,24.97839768500702
22,T. Lemar,35500000,83,89,85.0,75.0,84.0,75.0,80.0,85.0,86.0,84.0,3.0,21.4374186172071
22,K. Coman,34000000,83,87,88.0,76.0,77.0,63.0,75.0,75.0,95.0,93.0,2.0,22.522494024579885
22,J. Tah,29500000,83,88,55.0,20.0,74.0,69.0,75.0,61.0,64.0,77.0,2.0,25.379410424011272
24,Anderson Talisca,36500000,83,90,82.0,80.0,81.0,79.0,74.0,81.0,77.0,76.0,2.0,21.98937731208796
22,T. Werner,34500000,83,87,83.0,87.0,77.0,55.0,74.0,61.0,93.0,93.0,3.0,23.00965698077001
23,A. Rabiot,33000000,83,87,79.0,69.0,85.0,83.0,82.0,80.0,73.0,74.0,2.0,21.42339391661521
23,L. Goretzka,34000000,83,88,81.0,72.0,84.0,79.0,80.0,82.0,84.0,79.0,3.0,22.3234495246718
26,Q. Promes,30500000,83,84,84.0,86.0,78.0,73.0,78.0,81.0,90.0,91.0,2.0,23.46234586361445
25,H. Ziyech,32500000,83,86,83.0,68.0,86.0,89.0,83.0,88.0,76.0,74.0,3.0,19.9642612039034
27,Lucas Vázquez,27000000,83,83,82.0,73.0,83.0,75.0,75.0,83.0,84.0,79.0,2.0,23.43648628395567
24,Y. Carrasco,33000000,83,86,88.0,79.0,77.0,71.0,75.0,71.0,89.0,87.0,3.0,22.45594865770336
26,Gerard Moreno,32000000,83,85,78.0,83.0,78.0,56.0,72.0,58.0,77.0,80.0,1.0,23.717173171355185
29,Felipe,20000000,83,83,57.0,39.0,74.0,67.0,75.0,50.0,60.0,67.0,3.0,23.75293639476168
24,M. Kovačić,35000000,83,89,88.0,62.0,87.0,82.0,72.0,88.0,84.0,74.0,3.0,25.38228817422923
23,Kepa,28500000,83,91,10.0,11.0,32.0,36.0,63.0,55.0,34.0,33.0,1.0,24.670411448932825
26,Manu Trigueros,30000000,83,84,80.0,71.0,86.0,83.0,73.0,84.0,68.0,65.0,2.0,23.66127181233954
22,S. Gnabry,34500000,83,88,87.0,81.0,79.0,68.0,74.0,74.0,92.0,90.0,2.0,24.340963531183927
24,J. Pickford,25000000,83,88,14.0,19.0,55.0,55.0,69.0,68.0,53.0,44.0,1.0,22.4302915414236
27,S. Savić,26000000,83,86,47.0,34.0,72.0,69.0,75.0,41.0,55.0,61.0,2.0,22.3234495246718
24,J. Stones,28500000,83,87,69.0,29.0,81.0,74.0,80.0,67.0,67.0,71.0,2.0,19.777048438207338
24,Suso,33000000,83,86,88.0,70.0,86.0,75.0,76.0,84.0,83.0,77.0,3.0,22.74643517152081
24,J. Draxler,32500000,83,86,88.0,78.0,84.0,79.0,83.0,84.0,78.0,77.0,3.0,21.814169307378904
25,Felipe Anderson,31500000,83,85,90.0,71.0,80.0,74.0,82.0,79.0,93.0,89.0,3.0,22.74643517152081
25,Lucas Moura,31000000,83,84,88.0,78.0,77.0,74.0,80.0,74.0,94.0,90.0,3.0,22.74643517152081
26,Danilo Pereira,27000000,83,86,76.0,61.0,82.0,79.0,84.0,73.0,63.0,68.0,3.0,23.48347668628339
28,Nacho Fernández,24500000,83,85,55.0,32.0,80.0,61.0,73.0,53.0,70.0,79.0,2.0,23.44031900982186
25,T. Horn,24000000,83,87,20.0,13.0,35.0,32.0,20.0,55.0,45.0,51.0,2.0,24.108029745764988
27,Allan,26500000,83,83,82.0,72.0,85.0,77.0,79.0,79.0,81.0,74.0,2.0,24.04809097532744
30,F. Acerbi,19000000,83,83,65.0,37.0,73.0,77.0,85.0,65.0,65.0,55.0,2.0,23.624795296518027
26,Sergi Roberto,26500000,83,86,78.0,63.0,86.0,78.0,76.0,83.0,78.0,79.0,3.0,21.51024710212685
27,Rodrigo,30500000,83,84,82.0,78.0,78.0,58.0,77.0,74.0,88.0,91.0,2.0,23.04766681981956
28,Pizzi,25500000,83,83,80.0,76.0,83.0,84.0,85.0,85.0,82.0,73.0,3.0,22.8071884715198
27,K. Kampl,26500000,83,83,86.0,63.0,84.0,79.0,83.0,82.0,84.0,71.0,2.0,21.22555265518694
28,Neto,21000000,83,84,19.0,15.0,36.0,41.0,64.0,42.0,53.0,49.0,2.0,23.11915734942581
28,O. Baumann,21000000,83,84,19.0,11.0,30.0,25.0,52.0,41.0,47.0,51.0,2.0,23.22883657763694
28,I. Gueye,21000000,83,83,75.0,50.0,80.0,72.0,80.0,67.0,76.0,72.0,2.0,21.54240355299968
29,H. Mkhitaryan,25500000,83,83,84.0,74.0,80.0,71.0,76.0,84.0,84.0,78.0,3.0,23.66127181233954
27,Marcos Alonso,24000000,83,84,79.0,68.0,84.0,73.0,76.0,69.0,69.0,76.0,2.0,24.643503847894976
33,D. Subašić,13000000,83,83,11.0,10.0,24.0,26.0,65.0,52.0,51.0,54.0,3.0,23.11915734942581
30,K. Glik,19000000,83,83,51.0,27.0,63.0,59.0,79.0,23.0,50.0,52.0,3.0,21.98937731208796
28,K. Strootman,21000000,83,83,75.0,68.0,87.0,84.0,85.0,79.0,65.0,66.0,3.0,23.21578813236839
29,B. Dost,26000000,83,83,68.0,87.0,73.0,37.0,81.0,68.0,49.0,54.0,3.0,23.236144044228656
26,Oscar,30500000,83,84,78.0,76.0,86.0,82.0,75.0,83.0,75.0,72.0,3.0,20.94085820824703
27,M. Balotelli,27500000,83,83,81.0,85.0,78.0,66.0,81.0,74.0,76.0,82.0,4.0,24.898143956541425
30,Luiz Gustavo,19000000,83,83,68.0,48.0,79.0,77.0,79.0,69.0,65.0,64.0,3.0,22.06880941602536
28,Giuliano,26000000,83,83,84.0,79.0,82.0,79.0,82.0,80.0,85.0,79.0,2.0,22.799443023018387
31,David Luiz,17500000,83,83,66.0,55.0,77.0,77.0,77.0,69.0,59.0,62.0,4.0,24.38886373924853
29,R. Fährmann,20000000,83,84,15.0,11.0,25.0,26.0,61.0,42.0,38.0,47.0,2.0,24.9722184070222
30,Juan Mata,24500000,83,83,82.0,78.0,85.0,79.0,87.0,85.0,69.0,62.0,3.0,21.748105843543435
31,Adán,15500000,83,83,12.0,11.0,34.0,43.0,63.0,42.0,56.0,54.0,2.0,25.37871742410152
30,Rui Patrício,16500000,83,83,20.0,12.0,31.0,30.0,66.0,64.0,53.0,57.0,3.0,23.11915734942581
29,Y. Sommer,20000000,83,84,15.0,13.0,40.0,31.0,57.0,58.0,48.0,54.0,3.0,23.58574464440679
29,Javi Martínez,20000000,83,83,60.0,43.0,77.0,74.0,80.0,75.0,49.0,53.0,3.0,23.14156084727107
29,L. Bender,20000000,83,83,72.0,59.0,79.0,74.0,83.0,76.0,66.0,67.0,3.0,23.62308266100644
31,Lucas Leiva,17500000,83,83,77.0,62.0,82.0,81.0,86.0,81.0,67.0,67.0,3.0,24.67351873479257
33,S. Mandanda,13000000,83,83,15.0,13.0,37.0,28.0,64.0,55.0,53.0,43.0,3.0,23.88491485798803
31,Cesc Fàbregas,22000000,83,83,79.0,72.0,90.0,89.0,92.0,91.0,56.0,54.0,4.0,24.388824287852653
30,M. Dembélé,24000000,83,83,89.0,66.0,86.0,80.0,90.0,80.0,72.0,72.0,3.0,23.88491485798803
35,F. Ribéry,11500000,83,83,84.0,74.0,83.0,74.0,85.0,84.0,78.0,78.0,4.0,24.88949890983304
33,R. Jarstein,13000000,83,83,11.0,13.0,34.0,34.0,55.0,37.0,40.0,46.0,2.0,22.623156357423824
34,D. De Rossi,8000000,83,83,64.0,50.0,81.0,80.0,87.0,71.0,63.0,67.0,3.0,24.811366355966584
35,Pepe Reina,6000000,83,83,10.0,14.0,19.0,22.0,64.0,65.0,50.0,63.0,3.0,26.05817111815301
26,J. Pavlenka,19500000,82,85,12.0,16.0,28.0,17.0,39.0,25.0,35.0,37.0,1.0,21.223564638823024
